Data_Split;FL;Non-IID;y_Dist;Epochs;Batches;Participant;ROC_AUC_Train;ROC_AUC_Test;ROC_AUC_OOS;LOGLOSS_Train;LOGLOSS_Test;LOGLOSS_OOS;PRAUC_Train;PRAUC_Test;PRAUC_OOS;BRIER_Train;BRIER_Test;BRIER_OOS;Model;Model_Type;TTG_ROCAUC;TTG_LOGLOSS;TTG_PRAUC;TTG_BRIER
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;1024;1;0,773098444;0,766677533;0,763984514;0,235609996;0,242052966;0,238772677;0,248896325;0,253609066;0,235532135;0,064861231;0,066684281;0,065707552;Model 1;NonFed;0,006420911;-0,00644297;0;-0,001823049
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;1024;2;0,736493741;0,73987399;0,72831889;0,250241748;0,2443335;0,249968044;0,203961792;0,209453994;0,191115599;0,068462139;0,06663923;0,068217185;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;1024;3;0,668059219;0,684705368;0,664115518;0,269745574;0,264953068;0,266415407;0,1485291;0,152690786;0,139498911;0,072786528;0,071863562;0,07149966;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;512;1;0,774507532;0,767731413;0,764710421;0,235447511;0,241835882;0,238896775;0,249517013;0,254924907;0,233628898;0,064874552;0,066660524;0,065839121;Model 1;NonFed;0,006776119;-0,006388371;0;-0,001785971
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;512;2;0,755067202;0,758681219;0,743705753;0,244718123;0,239069152;0,245675305;0,226894242;0,229488402;0,204884846;0,067228681;0,065557994;0,067377266;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;512;3;0,712715477;0,720722692;0,704532356;0,258466086;0,255397052;0,255845446;0,181875649;0,186672433;0,167658483;0,070465592;0,069796149;0,069362446;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;256;1;0,773817858;0,766853351;0,762711789;0,235432727;0,241972317;0,23958323;0,250081907;0,25605429;0,229663318;0,064788326;0,066590995;0,065953992;Model 1;NonFed;0,006964507;-0,006539589;0;-0,001802669
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;256;2;0,766284059;0,770221691;0,752592092;0,241071655;0,235620563;0,243239526;0,243394266;0,242428873;0,214208164;0,066394263;0,064799918;0,066885249;Model 2;NonFed;0;0;0,000965392;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;256;3;0,741935344;0,739293161;0,728753876;0,250430185;0,250147153;0,24962861;0,211258147;0,208230046;0,190612512;0,068843602;0,068649487;0,068145878;Model 3;NonFed;0,002642183;0;0,003028101;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;128;1;0,77121155;0,764351288;0,760827441;0,236426437;0,242988037;0,240842469;0,246869484;0,253422905;0,225697016;0,064994316;0,066758679;0,066204439;Model 1;NonFed;0,006860262;-0,006561601;0;-0,001764363
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;128;2;0,773380823;0,776319964;0,757331549;0,238745242;0,233638836;0,242061756;0,253342972;0,252695567;0,219113061;0,065886574;0,064314073;0,066615237;Model 2;NonFed;0;0;0,000647406;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;128;3;0,762267129;0,749014073;0,74367436;0,244205972;0,247107933;0,245667766;0,238182388;0,225027063;0,204881528;0,067490829;0,067937148;0,06739824;Model 3;NonFed;0,013253056;-0,002901962;0,013155325;-0,00044632
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;64;1;0,757320262;0,750092834;0,747914275;0,241201943;0,248198655;0,244651654;0,22776922;0,231920854;0,209430736;0,065950551;0,067807304;0,067064133;Model 1;NonFed;0,007227428;-0,006996712;0;-0,001856753
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;64;2;0,776800328;0,777710237;0,75730214;0,237669352;0,233312372;0,242351725;0,258050624;0,254327155;0,219992484;0,065666349;0,064214565;0,066623201;Model 2;NonFed;0;0;0,003723469;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;64;3;0,774732984;0,754008029;0,750753469;0,240049503;0,245655208;0,243645889;0,256249533;0,233012082;0,211636346;0,06652436;0,067574604;0,066985487;Model 3;NonFed;0,020724954;-0,005605704;0,02323745;-0,001050244
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;32;1;0,731622306;0,724106459;0,718691259;0,252810768;0,260691053;0,256984281;0,208598328;0,207224786;0,19246512;0,068226822;0,070376217;0,069518883;Model 1;NonFed;0,007515847;-0,007880285;0,001373542;-0,002149394
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;32;2;0,77687134;0,7772306;0,754340534;0,237816956;0,234351218;0,244073685;0,259057992;0,252573763;0,21814133;0,065647488;0,064356249;0,066874962;Model 2;NonFed;0;0;0,006484229;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;32;3;0,781835962;0,756009364;0,753011039;0,23759375;0,244907093;0,242951837;0,267106395;0,239415761;0,214429395;0,065936007;0,067254337;0,066798828;Model 3;NonFed;0,025826597;-0,007313343;0,027690634;-0,00131833
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;16;1;0,688478769;0,682556093;0,675548052;0,27665706;0,285442969;0,281486813;0,177329254;0,172124934;0,159613974;0,070776472;0,073439519;0,072337431;Model 1;NonFed;0,005922676;-0,008785909;0,00520432;-0,002663046
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;16;2;0,773075946;0,772510364;0,746590953;0,239392582;0,236144112;0,24651177;0,256679511;0,245435126;0,209936106;0,065783222;0,064701486;0,067286664;Model 2;NonFed;0,000565581;0;0,011244385;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;16;3;0,783757235;0,753386256;0,750876098;0,23708587;0,245364137;0,243718347;0,269613255;0,246133376;0,21354922;0,065796226;0,067025761;0,066856687;Model 3;NonFed;0,03037098;-0,008278266;0,023479879;-0,001229535
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;1024;1;0,76962697;0,763090903;0,761804716;0,236799563;0,243401506;0,239576211;0,242939499;0,248163335;0,229716505;0,065133529;0,066931875;0,0658906;Model 1;NonFed;0,006536067;-0,006601943;0;-0,001798346
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;1024;2;0,70827307;0,711995811;0,704472267;0,257649845;0,251610783;0,256777597;0,176624277;0,181581881;0,167092933;0,070043386;0,068120687;0,069523674;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;1024;3;0,620536583;0,64158689;0,618913901;0,289156218;0,283224357;0,286483994;0,12224434;0,127112075;0,116618803;0,077885897;0,076574706;0,076634009;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;512;1;0,772187882;0,765233825;0,76252085;0,236034083;0,242585959;0,2390778;0,246084758;0,251863588;0,233481762;0,064982536;0,066784109;0,065709543;Model 1;NonFed;0,006954057;-0,006551877;0;-0,001801574
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;512;2;0,736235111;0,739645542;0,728105275;0,25027335;0,244340335;0,250025655;0,203842422;0,209059882;0,190188744;0,068459596;0,066628917;0,068228001;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;512;3;0,670961165;0,687650418;0,666864192;0,26908656;0,264246028;0,265714167;0,150541603;0,154967969;0,14119446;0,072650869;0,071710638;0,071370493;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;256;1;0,772207444;0,764973163;0,761378912;0,236081944;0,242832042;0,239966585;0,247524318;0,251278823;0,231209361;0,065003448;0,066875458;0,066011536;Model 1;NonFed;0,00723428;-0,006750098;0;-0,00187201
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;256;2;0,754779508;0,758553722;0,743365477;0,244752573;0,239022607;0,245665356;0,226718027;0,230048368;0,206506036;0,06722736;0,065532048;0,067357602;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;256;3;0,712681687;0,720816829;0,704485141;0,258480922;0,255367026;0,255865217;0,181958129;0,186961171;0,167674594;0,070468484;0,069789591;0,069367018;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;128;1;0,769698827;0,762178788;0,758273769;0,237677814;0,244965231;0,242398132;0,245321957;0,24659203;0,227110468;0,065369854;0,067393716;0,06660231;Model 1;NonFed;0,007520039;-0,007287416;0;-0,002023862
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;128;2;0,765985522;0,770460558;0,752423675;0,241159438;0,235506272;0,243002053;0,243151821;0,243821701;0,214251414;0,066411548;0,064779455;0,066845315;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;128;3;0,741414189;0,738623481;0,727874474;0,250449117;0,25025134;0,249701849;0,211152686;0,207386045;0,189981691;0,068813004;0,068658598;0,068121144;Model 3;NonFed;0,002790708;0;0,003766641;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;64;1;0,758754145;0,750605508;0,74563955;0,241957284;0,249692834;0,247113583;0,231694445;0,234973826;0,214033972;0,066018108;0,067988934;0,067247662;Model 1;NonFed;0,008148636;-0,007735549;0;-0,001970826
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;64;2;0,772185032;0,775356496;0,756329208;0,239230706;0,234252332;0,242149385;0,251750787;0,25014458;0,218623449;0,066008438;0,06442906;0,066621814;Model 2;NonFed;0;0;0,001606207;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;64;3;0,761293564;0,747208383;0,741609372;0,244260574;0,247562949;0,245867362;0,238205259;0,220202616;0,203286673;0,067431901;0,06802255;0,067345019;Model 3;NonFed;0,014085181;-0,003302375;0,018002643;-0,00059065
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;32;1;0,745602423;0,739685991;0,73545598;0,249938752;0,25706079;0,254415361;0,222019745;0,22486864;0,205374307;0,068321955;0,070456628;0,069436495;Model 1;NonFed;0,005916432;-0,007122038;0;-0,002134673
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;32;2;0,772604203;0,773926794;0,754649882;0,239425633;0,235081111;0,243507213;0,25070118;0,249560867;0,2155975;0,066077847;0,064497943;0,0668794;Model 2;NonFed;0;0;0,001140312;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;32;3;0,772987613;0,750604353;0,747113048;0,240288688;0,246843902;0,244120592;0,255727961;0,223964244;0,20942147;0,066480056;0,067875376;0,066956166;Model 3;NonFed;0,02238326;-0,006555213;0,031763717;-0,00139532
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;16;1;0,723284431;0,718578074;0,716007203;0,261063962;0,268310549;0,263743501;0,19986504;0,202303368;0,189565306;0,069807636;0,071964879;0,070281793;Model 1;NonFed;0,004706358;-0,007246588;0;-0,002157243
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;16;2;0,766718674;0,765945381;0,746656192;0,242218865;0,23849672;0,247713342;0,242748092;0,239334623;0,205058751;0,066687702;0,065274974;0,067813505;Model 2;NonFed;0,000773293;0;0,00341347;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;16;3;0,778148884;0,749039199;0,746132887;0,238481703;0,248010736;0,244282459;0,26321789;0,217845864;0,210059183;0,066012861;0,068155785;0,066954429;Model 3;NonFed;0,029109686;-0,009529033;0,045372026;-0,002142924
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;1024;1;0,764773309;0,758096442;0,758871308;0,23830075;0,244990269;0,240714955;0,236984574;0,242226394;0,226053667;0,065479435;0,067262648;0,06620787;Model 1;NonFed;0,006676867;-0,00668952;0;-0,001783213
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;1024;2;0,679190364;0,683793983;0,679032435;0,264399086;0,258420756;0,263353344;0,154843453;0,157358202;0,148942823;0,071406653;0,069518955;0,070661112;Model 2;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;1024;3;0,591372655;0,612496181;0,58993093;0,318978483;0,312231253;0,317508304;0,109351683;0,112734552;0,105062905;0,087368365;0,085540591;0,086378145;Model 3;NonFed;0;0;0;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;3;512;1;0,769200029;0,762549841;0,760809541;0,23692523;0,243833381;0,239791566;0,242769864;0,246423638;0,22892265;0,065137262;0,067019159;0,065925238;Model 1;NonFed;0,006650188;-0,006908151;0;-0,001881897
