Data_Split;FL;Non-IID;y_Dist;Epochs;Batches;Participant;ROC_AUC_Train;ROC_AUC_Test;ROC_AUC_OOS;LOGLOSS_Train;LOGLOSS_Test;LOGLOSS_OOS;PRAUC_Train;PRAUC_Test;PRAUC_OOS;BRIER_Train;BRIER_Test;BRIER_OOS;Model;Model_Type;TTG_ROCAUC;TTG_LOGLOSS;TTG_PRAUC;TTG_BRIER
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;1024;1;0,786420338;0,757138369;0,759262708;0,231107151;0,245881794;0,240258616;0,272128005;0,23641586;0,230717313;0,063798507;0,067474031;0,06591883;Model 1;NonFed;0,029281969;-0,014774644;0,035712145;-0,003675524
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;1024;2;0,775954404;0,754915977;0,744907036;0,23757431;0,240486477;0,246215387;0,259122817;0,232187047;0,20792095;0,065496748;0,065357653;0,066866928;Model 2;NonFed;0,021038427;-0,002912168;0,026935771;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;1024;3;0,769366737;0,746373544;0,730542677;0,24059844;0,248107752;0,249238543;0,266558229;0,223796117;0,192031855;0,066268907;0,067790104;0,067677881;Model 3;NonFed;0,022993193;-0,007509312;0,042762113;-0,001521197
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;512;1;0,806992488;0,758793282;0,759310544;0,223596549;0,24574362;0,240587333;0,311700277;0,240796455;0,22911528;0,062125348;0,067272296;0,065894959;Model 1;NonFed;0,048199206;-0,022147071;0,070903823;-0,005146949
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;512;2;0,806440519;0,763551173;0,747627759;0,226294889;0,23874396;0,245660145;0,318315696;0,23707735;0,210855873;0,062865515;0,065164584;0,066924201;Model 2;NonFed;0,042889346;-0,01244907;0,081238345;-0,002299069
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;512;3;0,813975971;0,751933998;0,739147866;0,224182165;0,246912867;0,247528179;0,355371892;0,231883653;0,200594304;0,062279959;0,067578426;0,067566931;Model 3;NonFed;0,062041972;-0,022730702;0,123488238;-0,005298467
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;256;1;0,840066708;0,752866017;0,749953204;0,210726568;0,249619403;0,245077249;0,383030429;0,233244447;0,220550553;0,059177762;0,067816141;0,066532995;Model 1;NonFed;0,087200691;-0,038892835;0,149785982;-0,008638379
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;256;2;0,854739805;0,760696654;0,742942466;0,205319903;0,241380745;0,249880723;0,432700511;0,23012702;0,204319729;0,05751221;0,066084514;0,068140224;Model 2;NonFed;0,094043151;-0,036060842;0,202573491;-0,008572304
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;256;3;0,861602948;0,751611721;0,736396215;0,202928044;0,250027219;0,251293153;0,468798115;0,231061678;0,200155766;0,057176156;0,067809389;0,067866254;Model 3;NonFed;0,109991227;-0,047099175;0,237736437;-0,010633233
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;128;1;0,889615282;0,730523515;0,724009486;0,187094328;0,262853348;0,259306604;0,499562184;0,208364318;0,192742473;0,053294712;0,069932398;0,069030621;Model 1;NonFed;0,159091767;-0,075759021;0,291197866;-0,016637687
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;128;2;0,928590132;0,73172483;0,721180901;0,169426125;0,264787619;0,271525082;0,651445426;0,196129402;0,18170643;0,046116364;0,073239895;0,074961804;Model 2;NonFed;0,196865302;-0,095361494;0,455316024;-0,027123531
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;128;3;0,944703061;0,728637076;0,707952742;0,150129897;0,26805998;0,27260232;0,725444248;0,204822961;0,174406812;0,041570931;0,071464059;0,072475874;Model 3;NonFed;0,216065985;-0,117930083;0,520621287;-0,029893128
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;64;1;0,923002017;0,715122723;0,710169735;0,16628336;0,275437592;0,272548177;0,592017416;0,19408019;0,174319192;0,046908533;0,073105912;0,072933573;Model 1;NonFed;0,207879294;-0,109154232;0,397937226;-0,026197379
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;64;2;0,978854774;0,707893172;0,693752984;0,102751797;0,309996519;0,320610643;0,85982807;0,170134454;0,164495977;0,028394606;0,075950262;0,077037837;Model 2;NonFed;0,270961601;-0,207244722;0,689693616;-0,047555656
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;64;3;0,992464953;0,688932492;0,672124347;0,078295738;0,328991138;0,337097104;0,949097911;0,169965924;0,145297053;0,018819496;0,079772464;0,082035749;Model 3;NonFed;0,303532461;-0,250695399;0,779131987;-0,060952967
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;32;1;0,933780586;0,718937166;0,713518181;0,156057172;0,300239608;0,293466421;0,631247839;0,19047086;0,189309095;0,045601988;0,07284973;0,070815636;Model 1;NonFed;0,21484342;-0,144182436;0,440776979;-0,027247741
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;32;2;0,986163828;0,694175052;0,682894351;0,107086581;0,364139005;0,37119087;0,856290311;0,155085685;0,151147665;0,027851783;0,093686195;0,094207903;Model 2;NonFed;0,291988776;-0,257052424;0,701204626;-0,065834412
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;32;3;0,996876475;0,69108458;0,673318402;0,056801094;0,412781664;0,417944608;0,944917338;0,17284927;0,157378629;0,012456719;0,090950259;0,091678786;Model 3;NonFed;0,305791895;-0,35598057;0,772068068;-0,07849354
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;16;1;0,921877604;0,727362416;0,722129605;0,163017962;0,294191891;0,28803784;0,575498735;0,199096382;0,193028039;0,047459557;0,074393922;0,07238847;Model 1;NonFed;0,194515188;-0,131173929;0,376402353;-0,026934365
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;16;2;0,985702353;0,660548362;0,658256521;0,086543947;0,383654251;0,387018811;0,901349345;0,137091527;0,13688593;0,024106704;0,0803251;0,079520832;Model 2;NonFed;0,325153991;-0,297110304;0,764257818;-0,056218396
8-2-1;0;0;7.83% - 7.85% - 7.90%;10;16;3;0,995164711;0,707227418;0,681668903;0,042970694;0,490152678;0,513026687;0,965850399;0,185848627;0,158000338;0,010938647;0,088120123;0,089821935;Model 3;NonFed;0,287937293;-0,447181984;0,780001773;-0,077181476
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;1024;1;0,771078002;0,751505829;0,756489156;0,236061456;0,247487717;0,241089819;0,249797136;0,231073163;0,224893566;0,064867034;0,067719241;0,066079997;Model 1;NonFed;0,019572172;-0,011426261;0,018723973;-0,002852207
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;1024;2;0,747311861;0,73865929;0,733334688;0,246688096;0,2444878;0,249209306;0,22141239;0,219813095;0,19527566;0,067343044;0,066097829;0,067376879;Model 2;NonFed;0,008652571;0;0,001599295;0
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;1024;3;0,718998247;0,714583009;0,706284894;0,255186685;0,256875746;0,255383855;0,208334266;0,196502126;0,17563098;0,069107618;0,069229048;0,06847733;Model 3;NonFed;0,004415237;-0,001689061;0,01183214;-0,000121429
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;512;1;0,784746166;0,756389603;0,761195326;0,23151818;0,246272266;0,239803091;0,272003685;0,237968821;0,229602097;0,06389616;0,067395994;0,065780756;Model 1;NonFed;0,028356563;-0,014754086;0,034034864;-0,003499833
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;512;2;0,775966588;0,755300629;0,745502527;0,238166467;0,241215336;0,246620888;0,260290545;0,230525064;0,20694684;0,065598824;0,065610288;0,067138403;Model 2;NonFed;0,020665959;-0,003048869;0,029765481;-1,14642E-05
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;512;3;0,770581977;0,744043567;0,730011835;0,240248972;0,249032893;0,249541899;0,273242054;0,225915481;0,192754562;0,066193386;0,067810253;0,067574382;Model 3;NonFed;0,02653841;-0,008783921;0,047326573;-0,001616867
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;256;1;0,8012759;0,759036002;0,762737568;0,225947061;0,246182582;0,239858442;0,298791858;0,239299778;0,232191469;0,06268456;0,067344022;0,065735212;Model 1;NonFed;0,042239898;-0,020235521;0,059492079;-0,004659462
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;256;2;0,804533711;0,761550178;0,747787644;0,227323874;0,239195673;0,245625527;0,314486562;0,238540058;0,211218131;0,06307669;0,065220032;0,067007815;Model 2;NonFed;0,042983533;-0,011871799;0,075946503;-0,002143343
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;256;3;0,808329847;0,750089112;0,737905015;0,227082076;0,247260681;0,247459552;0,338873967;0,228838284;0,197775008;0,063201515;0,06765153;0,067445257;Model 3;NonFed;0,058240735;-0,020178605;0,110035683;-0,004450015
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;128;1;0,82077435;0,758386032;0,753972834;0,219743319;0,247468495;0,243322758;0,332049943;0,237105731;0,222006734;0,061485575;0,06757043;0,066350187;Model 1;NonFed;0,062388318;-0,027725176;0,094944213;-0,006084855
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;128;2;0,838911153;0,764500893;0,746409166;0,213712375;0,238907449;0,246886972;0,380048896;0,236081238;0,210387488;0,060165561;0,065165203;0,067010224;Model 2;NonFed;0,07441026;-0,025195074;0,143967657;-0,004999642
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;128;3;0,853482384;0,746938702;0,732329059;0,207633231;0,250357713;0,250591458;0,447632439;0,220594623;0,196553218;0,058166241;0,068291478;0,068013371;Model 3;NonFed;0,106543682;-0,042724482;0,227037815;-0,010125237
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;64;1;0,838613551;0,751393686;0,748696393;0,212971505;0,248650418;0,244098544;0,365348684;0,228369811;0,211717235;0,059823636;0,067922897;0,06674964;Model 1;NonFed;0,087219866;-0,035678912;0,136978873;-0,008099261
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;64;2;0,876259756;0,753201579;0,740036792;0,198161444;0,244098764;0,250680279;0,477176756;0,219154436;0,203051279;0,055466068;0,06673433;0,068315403;Model 2;NonFed;0,123058176;-0,04593732;0,25802232;-0,011268262
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;64;3;0,911296376;0,735778263;0,718201054;0,178998878;0,25944621;0,259883564;0,610557355;0,200292223;0,185441484;0,049426532;0,070917075;0,070700085;Model 3;NonFed;0,175518114;-0,080447332;0,410265132;-0,021490544
8-2-1;0;0;7.83% - 7.85% - 7.90%;5;32;1;0,852576759;0,751651216;0,749811125;0,205771071;0,249993728;0,245290212;0,39712787;0,236369099;0,218752611;0,05815189;0,067773062;0,066713523;Model 1;NonFed;0,100925543;-0,044222657;0,160758771;-0,009621172
